Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Calexico,California,2503,US-Mexico Border,May-21,Pedestrians,183693,32.673,-115.388,POINT (-115.388018 32.673389)
Point Roberts,Washington,3017,US-Canada Border,Mar-23,Personal Vehicle Passengers,68976,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Del Bonita,Montana,3322,US-Canada Border,Sep-20,Truck Containers Loaded,194,48.999,-112.788,POINT (-112.78825 48.998555)
Calexico East,California,2507,US-Mexico Border,Oct-22,Personal Vehicle Passengers,405789,32.673,-115.388,POINT (-115.388018 32.673389)
Portal,North Dakota,3403,US-Canada Border,Sep-21,Trains,96,48.999,-102.552,POINT (-102.551944 48.998944)
Warroad,Minnesota,3423,US-Canada Border,Feb-22,Bus Passengers,59,48.999,-95.377,POINT (-95.376555 48.999)
Naco,Arizona,2603,US-Mexico Border,Sep-20,Truck Containers Loaded,51,31.334,-109.948,POINT (-109.948413 31.334084)
Calexico East,California,2507,US-Mexico Border,Nov-22,Buses,127,32.673,-115.388,POINT (-115.388018 32.673389)
Jackman,Maine,104,US-Canada Border,Jul-22,Personal Vehicles,17881,45.806,-70.397,POINT (-70.396722 45.805661)
Portal,North Dakota,3403,US-Canada Border,Jan-23,Truck Containers Loaded,6255,48.999,-102.552,POINT (-102.551944 48.998944)
International Falls,Minnesota,3604,US-Canada Border,Jul-21,Rail Containers Loaded,44025,48.608,-93.401,POINT (-93.401355 48.6078)
Northgate,North Dakota,3406,US-Canada Border,Aug-23,Truck Containers Loaded,292,48.999,-102.275,POINT (-102.27475 48.998833)
